Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Property_Area,TotalIncome_log,LoanAmount_log
1,0,0.0,1,0,360.0,1.0,3,8.674196940225903,4.859812404361672
1,1,1.0,1,0,360.0,1.0,1,8.714731714015052,4.859812404361672
1,1,0.0,1,1,360.0,1.0,3,8.006700845440367,4.204692619390966
1,1,0.0,0,0,360.0,1.0,3,8.505525386548555,4.795790545596741
1,0,0.0,1,0,360.0,1.0,3,8.699681400989514,4.955827057601261
1,1,2.0,1,1,360.0,1.0,3,9.170975648453906,5.5909869805108565
1,1,0.0,0,0,360.0,1.0,3,8.25582842728183,4.564348191467836
1,1,3.0,1,0,360.0,0.0,2,8.61993026886735,5.0689042022202315
1,1,2.0,1,0,360.0,1.0,3,8.618485442898109,5.1298987149230735
1,1,1.0,1,0,360.0,1.0,2,10.077860939480908,5.857933154483459
1,1,2.0,1,0,360.0,1.0,3,8.268988209506656,4.2626798770413155
1,1,2.0,1,0,360.0,1.0,3,8.375860015299594,4.700480365792417
1,1,2.0,1,0,360.0,1.0,3,9.32188174670909,5.303304908059076
1,0,0.0,1,0,360.0,1.0,1,8.454040376410969,4.74493212836325
1,1,2.0,1,0,120.0,1.0,3,7.777373602657861,3.4339872044851463
1,0,0.0,1,0,360.0,1.0,3,8.507344855361422,4.836281906951478
1,0,1.0,0,0,240.0,1.0,3,8.187855443695623,4.61512051684126
0,0,0.0,1,0,360.0,0.0,3,8.163656176168432,4.343805421853684
1,1,0.0,0,0,360.0,1.0,1,8.494538500851432,4.897839799950911
1,1,0.0,1,0,360.0,1.0,3,8.716207971151853,4.7535901911063645
1,1,0.0,0,0,360.0,0.0,3,8.94389780251682,4.653960350157523
1,1,1.0,1,0,360.0,1.0,3,9.357121103184378,5.755742213586912
1,1,0.0,0,0,360.0,0.0,2,8.414495793177895,4.762173934797756
1,1,2.0,0,0,360.0,0.0,1,8.572249397164315,4.727387818712341
1,1,1.0,1,0,360.0,1.0,2,8.80131894766524,5.0238805208462765
1,1,0.0,1,1,360.0,1.0,2,9.165447603085447,5.2574953720277815
1,1,0.0,1,0,360.0,1.0,2,8.527737405291909,4.812184355372417
1,1,2.0,0,0,360.0,1.0,3,8.569216219483389,4.709530201312334
1,0,0.0,0,0,360.0,1.0,3,7.668093709082406,3.58351893845611
0,0,2.0,1,0,360.0,1.0,2,8.671458150427666,4.795790545596741
1,1,1.0,1,0,360.0,1.0,3,8.927446816256198,5.308267697401205
1,0,0.0,1,0,360.0,1.0,3,8.060855752934316,4.31748811353631
1,0,1.0,1,1,360.0,1.0,1,8.453827315794417,4.672828834461906
1,1,0.0,1,0,360.0,1.0,2,8.550241045462437,4.74493212836325
1,0,3.0,1,0,360.0,1.0,1,9.648659816955295,5.771441123130016
1,1,0.0,1,0,360.0,1.0,3,8.376320632534823,4.859812404361672
1,1,0.0,1,0,360.0,0.0,3,8.058010800802085,4.61512051684126
0,1,0.0,1,0,360.0,1.0,2,8.5422759717837,4.976733742420574
1,0,0.0,1,0,360.0,1.0,3,9.339349052539717,5.220355825078324
1,0,0.0,0,0,360.0,1.0,2,8.597297435657898,4.709530201312334
1,0,0.0,1,0,360.0,1.0,3,8.188966863648876,4.394449154672439
1,0,0.0,1,0,360.0,1.0,3,8.01102337918644,3.871201010907891
1,1,0.0,1,0,360.0,1.0,3,7.783640596221253,4.330733340286331
1,1,0.0,1,0,360.0,1.0,2,8.744806737401898,4.90527477843843
1,1,0.0,0,1,360.0,1.0,3,8.454466361507933,4.574710978503383
0,0,0.0,1,0,360.0,1.0,3,8.134760782418645,4.48863636973214
1,1,1.0,1,0,360.0,1.0,3,8.639410824140487,3.8066624897703196
1,1,0.0,1,0,360.0,1.0,3,8.669399124305569,4.976733742420574
0,1,0.0,1,0,360.0,0.0,3,8.713746330456916,4.795790545596741
0,0,0.0,1,0,360.0,1.0,2,8.744488113852924,4.976733742420574
0,1,0.0,0,0,360.0,1.0,2,8.181160858023409,4.61512051684126
0,0,0.0,1,0,360.0,1.0,2,8.034955024502159,4.795790545596741
0,0,0.0,1,0,360.0,1.0,2,8.350193650720067,4.727387818712341
1,1,2.0,1,0,360.0,1.0,3,8.43750042250699,4.90527477843843
0,1,1.0,1,1,360.0,0.0,3,9.350189267092581,5.659482215759621
1,1,2.0,1,0,360.0,1.0,2,8.262558973010657,4.584967478670572
1,1,0.0,1,0,360.0,1.0,2,8.222553638396958,4.574710978503383
1,1,0.0,1,0,360.0,1.0,1,8.624611588183507,4.912654885736052
1,1,1.0,1,0,360.0,1.0,3,9.242904362849446,5.198497031265826
1,1,2.0,0,0,360.0,1.0,3,8.735042754269337,4.976733742420574
1,1,0.0,1,0,360.0,1.0,3,8.747828608488742,4.795790545596741
1,1,3.0,1,0,360.0,1.0,3,8.016317898503415,4.605170185988092
1,1,0.0,0,1,180.0,0.0,1,8.70930004894499,5.111987788356544
1,1,1.0,1,0,360.0,0.0,1,8.506334448081361,4.859812404361672
0,0,0.0,1,0,360.0,0.0,2,8.334951631422454,4.762173934797756
1,1,0.0,1,0,360.0,1.0,2,9.242032818708672,5.556828061699537
1,0,0.0,0,0,180.0,0.0,3,8.604287898267172,4.844187086458591
1,1,1.0,1,0,360.0,1.0,3,9.282754052485227,5.746203190540153
1,1,3.0,0,1,60.0,1.0,3,8.867990898182093,4.836281906951478
0,0,0.0,1,0,360.0,0.0,2,8.366602832783736,4.919980925828125
